tx_price,tx_size,tx_direction
34.69,69,
34.69,69,
34.6,300,1.0
34.66,100,
34.6,307,1.0
34.6,100,
34.68,100,
34.68,100,
34.68,100,
34.6,100,
34.66,100,
34.73,275934,-1.0
34.73,275934,
34.69,142,
34.69,40,
34.69,40,
34.66,200,
34.7,27,-1.0
34.69,1520,
34.68,100,
34.69,200,
34.69,100,
34.67,40,
34.67,60,
34.68,100,
34.7,100,
34.69,231,
34.69,300,
34.69,100,
34.7,100,
34.7,40,1.0
34.7,60,1.0
34.7,70,
34.7,270,
34.7,13,
34.7,10,
34.7,20,
34.7,200,
34.69,100,1.0
34.69,57,1.0
34.69,2,1.0
34.69,4,1.0
34.69,9,1.0
34.7,345,
34.7,100,
34.73,13,
34.71,60,
34.71,100,
34.71,100,
34.7,100,
34.7,100,
34.71,55,
34.7,845,1.0
34.7,100,1.0
34.73,58,
34.73,2,
34.75,200,
34.7,100,
34.73,57,
34.75,80,
34.75,100,
34.75,99,
34.72,100,1.0
34.75,30,
34.75,27,
34.75,273,-1.0
34.75,100,-1.0
34.75,209,-1.0
34.75,340,-1.0
34.75,22,
34.75,187,-1.0
34.75,10,
34.75,5,
34.75,60,
34.75,138,
34.75,20,
34.75,401,
34.72,100,1.0
34.73,1000,
34.73,100,
34.75,92,
34.74,100,
34.76,786,-1.0
34.73,300,1.0
34.74,100,
34.73,4600,
34.7023,640,1.0
34.71,100,1.0
34.71,200,
34.71,100,
34.71,100,1.0
34.71,100,
34.71,100,1.0
34.7,500,
34.72,100,
34.72,300,
34.71,200,
34.7,10,
34.69,100,1.0
34.69,12,1.0
34.69,25,1.0
34.69,100,
34.69,20,
34.69,100,
34.69,100,
34.69,133,
34.69,50,-1.0
34.69,6,-1.0
34.69,2400,
34.69,2700,
34.68,100,
34.69,2900,
34.69,44,
34.69,100,
34.69,300,1.0
34.69,300,1.0
34.69,100,
34.69,345,
34.69,300,1.0
34.69,345,1.0
34.69,210,1.0
34.69,83,1.0
34.69,100,1.0
34.69,17,-1.0
34.67,383,
34.67,9,
34.69,100,
34.68,3,
34.67,97,
34.69,375,-1.0
34.67,4800,
34.68,5,
34.68,100,
34.67,100,
34.66,2000,
